2023-05-15 15:05:251 INFO  ComputerPage :27 - Get text ComputerProxy element for: DefaultElementLocator 'By.xpath: //h1[contains(text(),'Computers')]'<br>
2023-05-15 15:05:368 INFO  HomePage :51 - Click on Top Menu[[[ChromeDriver: chrome on WINDOWS (617854ffa3fac24b992b7ef35213e540)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (617854ffa3fac24b992b7ef35213e540)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (617854ffa3fac24b992b7ef35213e540)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (617854ffa3fac24b992b7ef35213e540)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (617854ffa3fac24b992b7ef35213e540)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (617854ffa3fac24b992b7ef35213e540)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (617854ffa3fac24b992b7ef35213e540)] -> xpath: //ul[@class='top-menu notmobile']/li]]<br>
2023-05-15 15:05:89 INFO  ComputerPage :27 - Get text ComputerProxy element for: DefaultElementLocator 'By.xpath: //h1[contains(text(),'Computers')]'<br>
2023-05-15 15:05:266 INFO  HomePage :51 - Click on Top Menu[[[ChromeDriver: chrome on WINDOWS (b4dabc879dcb84fe84630b43bf27a464)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (b4dabc879dcb84fe84630b43bf27a464)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (b4dabc879dcb84fe84630b43bf27a464)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (b4dabc879dcb84fe84630b43bf27a464)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (b4dabc879dcb84fe84630b43bf27a464)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (b4dabc879dcb84fe84630b43bf27a464)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (b4dabc879dcb84fe84630b43bf27a464)] -> xpath: //ul[@class='top-menu notmobile']/li]]<br>
2023-05-15 15:05:624 INFO  ComputerPage :27 - Get text ComputerProxy element for: DefaultElementLocator 'By.xpath: //h1[contains(text(),'Computers')]'<br>
2023-05-15 15:05:681 INFO  HomePage :51 - Click on Top Menu[[[ChromeDriver: chrome on WINDOWS (f711750d480283216e5da4eaf352f997)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (f711750d480283216e5da4eaf352f997)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (f711750d480283216e5da4eaf352f997)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (f711750d480283216e5da4eaf352f997)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (f711750d480283216e5da4eaf352f997)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (f711750d480283216e5da4eaf352f997)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (f711750d480283216e5da4eaf352f997)] -> xpath: //ul[@class='top-menu notmobile']/li]]<br>
2023-05-15 15:05:626 INFO  ComputerPage :27 - Get text ComputerProxy element for: DefaultElementLocator 'By.xpath: //h1[contains(text(),'Computers')]'<br>
2023-05-15 15:05:532 INFO  HomePage :51 - Click on Top Menu[[[ChromeDriver: chrome on WINDOWS (e7e2433ed3b29f8a748cf67df22d39df)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (e7e2433ed3b29f8a748cf67df22d39df)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (e7e2433ed3b29f8a748cf67df22d39df)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (e7e2433ed3b29f8a748cf67df22d39df)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (e7e2433ed3b29f8a748cf67df22d39df)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (e7e2433ed3b29f8a748cf67df22d39df)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (e7e2433ed3b29f8a748cf67df22d39df)] -> xpath: //ul[@class='top-menu notmobile']/li]]<br>
2023-05-15 15:05:774 INFO  ComputerPage :27 - Get text ComputerProxy element for: DefaultElementLocator 'By.xpath: //h1[contains(text(),'Computers')]'<br>
2023-05-15 21:05:288 INFO  HomePage :55 - Click Computer Tab[[ChromeDriver: chrome on WINDOWS (76d1835345f572eeb4f141ab0abefebd)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]<br>
